Created as New Dataset,Sample 035 By whitece Date Monday, June 29 2020
cm-1,%T
4000.00,98.74
3999.50,98.73
3999.00,98.72
3998.50,98.71
3998.00,98.71
3997.50,98.71
3997.00,98.71
3996.50,98.71
3996.00,98.72
3995.50,98.73
3995.00,98.75
3994.50,98.77
3994.00,98.79
3993.50,98.78
3993.00,98.76
3992.50,98.73
3992.00,98.72
3991.50,98.72
3991.00,98.72
3990.50,98.72
3990.00,98.70
3989.50,98.69
3989.00,98.68
3988.50,98.68
3988.00,98.69
3987.50,98.69
3987.00,98.69
3986.50,98.70
3986.00,98.72
3985.50,98.72
3985.00,98.73
3984.50,98.72
3984.00,98.72
3983.50,98.71
3983.00,98.71
3982.50,98.71
3982.00,98.72
3981.50,98.73
3981.00,98.74
3980.50,98.75
3980.00,98.75
3979.50,98.74
3979.00,98.73
3978.50,98.73
3978.00,98.73
3977.50,98.73
3977.00,98.72
3976.50,98.71
3976.00,98.69
3975.50,98.68
3975.00,98.68
3974.50,98.69
3974.00,98.70
3973.50,98.70
3973.00,98.70
3972.50,98.69
3972.00,98.68
3971.50,98.68
3971.00,98.68
3970.50,98.69
3970.00,98.69
3969.50,98.69
3969.00,98.69
3968.50,98.70
3968.00,98.71
3967.50,98.74
3967.00,98.76
3966.50,98.77
3966.00,98.77
3965.50,98.76
3965.00,98.76
3964.50,98.76
3964.00,98.77
3963.50,98.78
3963.00,98.78
3962.50,98.77
3962.00,98.76
3961.50,98.75
3961.00,98.73
3960.50,98.72
3960.00,98.70
3959.50,98.69
3959.00,98.70
3958.50,98.72
3958.00,98.74
3957.50,98.76
3957.00,98.76
3956.50,98.75
3956.00,98.75
3955.50,98.75
3955.00,98.76
3954.50,98.75
3954.00,98.73
3953.50,98.72
3953.00,98.71
3952.50,98.73
3952.00,98.75
3951.50,98.77
3951.00,98.78
3950.50,98.77
3950.00,98.76
3949.50,98.76
3949.00,98.77
3948.50,98.77
3948.00,98.76
3947.50,98.74
3947.00,98.73
3946.50,98.73
3946.00,98.74
3945.50,98.75
3945.00,98.76
3944.50,98.77
3944.00,98.79
3943.50,98.80
3943.00,98.80
3942.50,98.77
3942.00,98.74
3941.50,98.71
3941.00,98.70
3940.50,98.70
3940.00,98.72
3939.50,98.72
3939.00,98.72
3938.50,98.71
3938.00,98.71
3937.50,98.73
3937.00,98.75
3936.50,98.77
3936.00,98.77
3935.50,98.76
3935.00,98.74
3934.50,98.73
3934.00,98.75
3933.50,98.77
3933.00,98.78
3932.50,98.78
3932.00,98.77
3931.50,98.77
3931.00,98.77
3930.50,98.78
3930.00,98.78
3929.50,98.77
3929.00,98.74
3928.50,98.71
3928.00,98.71
3927.50,98.73
3927.00,98.76
3926.50,98.79
3926.00,98.80
3925.50,98.79
3925.00,98.76
3924.50,98.72
3924.00,98.70
3923.50,98.69
3923.00,98.70
3922.50,98.72
3922.00,98.74
3921.50,98.76
3921.00,98.79
3920.50,98.80
3920.00,98.82
3919.50,98.82
3919.00,98.83
3918.50,98.84
3918.00,98.85
3917.50,98.85
3917.00,98.83
3916.50,98.80
3916.00,98.75
3915.50,98.72
3915.00,98.70
3914.50,98.70
3914.00,98.72
3913.50,98.74
3913.00,98.77
3912.50,98.79
3912.00,98.79
3911.50,98.78
3911.00,98.77
3910.50,98.75
3910.00,98.75
3909.50,98.74
3909.00,98.74
3908.50,98.74
3908.00,98.74
3907.50,98.76
3907.00,98.80
3906.50,98.86
3906.00,98.93
3905.50,98.97
3905.00,98.99
3904.50,99.01
3904.00,99.01
3903.50,99.02
3903.00,99.01
3902.50,98.99
3902.00,98.98
3901.50,98.97
3901.00,98.97
3900.50,98.97
3900.00,98.96
3899.50,98.92
3899.00,98.87
3898.50,98.81
3898.00,98.78
3897.50,98.77
3897.00,98.78
3896.50,98.79
3896.00,98.80
3895.50,98.80
3895.00,98.80
3894.50,98.80
3894.00,98.81
3893.50,98.84
3893.00,98.89
3892.50,98.94
3892.00,98.95
3891.50,98.92
3891.00,98.87
3890.50,98.82
3890.00,98.79
3889.50,98.77
3889.00,98.76
3888.50,98.79
3888.00,98.88
3887.50,99.00
3887.00,99.10
3886.50,99.13
3886.00,99.08
3885.50,98.99
3885.00,98.91
3884.50,98.87
3884.00,98.85
3883.50,98.84
3883.00,98.84
3882.50,98.87
3882.00,98.93
3881.50,98.99
3881.00,99.01
3880.50,98.98
3880.00,98.91
3879.50,98.84
3879.00,98.79
3878.50,98.77
3878.00,98.78
3877.50,98.79
3877.00,98.80
3876.50,98.82
3876.00,98.85
3875.50,98.87
3875.00,98.88
3874.50,98.87
3874.00,98.83
3873.50,98.80
3873.00,98.80
3872.50,98.85
3872.00,98.96
3871.50,99.08
3871.00,99.18
3870.50,99.19
3870.00,99.13
3869.50,99.01
3869.00,98.90
3868.50,98.82
3868.00,98.80
3867.50,98.83
3867.00,98.89
3866.50,98.96
3866.00,99.00
3865.50,99.01
3865.00,98.97
3864.50,98.93
3864.00,98.91
3863.50,98.91
3863.00,98.91
3862.50,98.91
3862.00,98.89
3861.50,98.85
3861.00,98.80
3860.50,98.76
3860.00,98.74
3859.50,98.75
3859.00,98.80
3858.50,98.85
3858.00,98.88
3857.50,98.91
3857.00,98.96
3856.50,99.09
3856.00,99.30
3855.50,99.55
3855.00,99.71
3854.50,99.74
3854.00,99.66
3853.50,99.53
3853.00,99.41
3852.50,99.28
3852.00,99.13
3851.50,98.99
3851.00,98.87
3850.50,98.80
3850.00,98.77
3849.50,98.76
3849.00,98.77
3848.50,98.79
3848.00,98.79
3847.50,98.79
3847.00,98.78
3846.50,98.78
3846.00,98.80
3845.50,98.84
3845.00,98.87
3844.50,98.89
3844.00,98.90
3843.50,98.92
3843.00,98.93
3842.50,98.95
3842.00,98.96
3841.50,98.97
3841.00,98.97
3840.50,99.00
3840.00,99.08
3839.50,99.18
3839.00,99.27
3838.50,99.29
3838.00,99.22
3837.50,99.11
3837.00,99.03
3836.50,99.00
3836.00,99.00
3835.50,98.99
3835.00,98.95
3834.50,98.92
3834.00,98.91
3833.50,98.93
3833.00,98.97
3832.50,98.99
3832.00,98.97
3831.50,98.91
3831.00,98.84
3830.50,98.80
3830.00,98.79
3829.50,98.80
3829.00,98.83
3828.50,98.86
3828.00,98.90
3827.50,98.92
3827.00,98.92
3826.50,98.91
3826.00,98.88
3825.50,98.85
3825.00,98.83
3824.50,98.84
3824.00,98.89
3823.50,98.98
3823.00,99.09
3822.50,99.17
3822.00,99.21
3821.50,99.17
3821.00,99.09
3820.50,98.99
3820.00,98.91
3819.50,98.87
3819.00,98.88
3818.50,98.96
3818.00,99.09
3817.50,99.22
3817.00,99.30
3816.50,99.27
3816.00,99.17
3815.50,99.04
3815.00,98.92
3814.50,98.84
3814.00,98.79
3813.50,98.77
3813.00,98.77
3812.50,98.78
3812.00,98.80
3811.50,98.80
3811.00,98.80
3810.50,98.79
3810.00,98.80
3809.50,98.84
3809.00,98.91
3808.50,99.00
3808.00,99.06
3807.50,99.07
3807.00,99.02
3806.50,98.93
3806.00,98.85
3805.50,98.81
3805.00,98.80
3804.50,98.85
3804.00,98.94
3803.50,99.07
3803.00,99.22
3802.50,99.33
3802.00,99.35
3801.50,99.27
3801.00,99.12
3800.50,98.97
3800.00,98.87
3799.50,98.83
3799.00,98.82
3798.50,98.84
3798.00,98.86
3797.50,98.87
3797.00,98.86
3796.50,98.84
3796.00,98.80
3795.50,98.78
3795.00,98.77
3794.50,98.78
3794.00,98.79
3793.50,98.80
3793.00,98.81
3792.50,98.81
3792.00,98.80
3791.50,98.78
3791.00,98.76
3790.50,98.75
3790.00,98.76
3789.50,98.77
3789.00,98.78
3788.50,98.79
3788.00,98.79
3787.50,98.79
3787.00,98.79
3786.50,98.80
3786.00,98.81
3785.50,98.81
3785.00,98.82
3784.50,98.83
3784.00,98.83
3783.50,98.82
3783.00,98.81
3782.50,98.80
3782.00,98.82
3781.50,98.87
3781.00,98.92
3780.50,98.95
3780.00,98.94
3779.50,98.91
3779.00,98.87
3778.50,98.84
3778.00,98.82
3777.50,98.80
3777.00,98.78
3776.50,98.77
3776.00,98.75
3775.50,98.76
3775.00,98.78
3774.50,98.79
3774.00,98.79
3773.50,98.77
3773.00,98.76
3772.50,98.78
3772.00,98.84
3771.50,98.92
3771.00,98.99
3770.50,99.01
3770.00,98.97
3769.50,98.90
3769.00,98.83
3768.50,98.79
3768.00,98.79
3767.50,98.81
3767.00,98.84
3766.50,98.86
3766.00,98.86
3765.50,98.84
3765.00,98.82
3764.50,98.79
3764.00,98.77
3763.50,98.75
3763.00,98.75
3762.50,98.78
3762.00,98.85
3761.50,98.92
3761.00,98.97
3760.50,98.98
3760.00,98.94
3759.50,98.89
3759.00,98.85
3758.50,98.84
3758.00,98.86
3757.50,98.87
3757.00,98.87
3756.50,98.85
3756.00,98.82
3755.50,98.82
3755.00,98.85
3754.50,98.94
3754.00,99.09
3753.50,99.25
3753.00,99.35
3752.50,99.34
3752.00,99.27
3751.50,99.23
3751.00,99.27
3750.50,99.34
3750.00,99.35
3749.50,99.27
3749.00,99.12
3748.50,98.98
3748.00,98.90
3747.50,98.93
3747.00,99.05
3746.50,99.26
3746.00,99.50
3745.50,99.64
3745.00,99.62
3744.50,99.43
3744.00,99.17
3743.50,98.96
3743.00,98.84
3742.50,98.81
3742.00,98.81
3741.50,98.82
3741.00,98.82
3740.50,98.82
3740.00,98.82
3739.50,98.83
3739.00,98.86
3738.50,98.93
3738.00,99.01
3737.50,99.09
3737.00,99.13
3736.50,99.15
3736.00,99.12
3735.50,99.07
3735.00,99.02
3734.50,98.98
3734.00,98.98
3733.50,99.00
3733.00,99.02
3732.50,99.00
3732.00,98.95
3731.50,98.89
3731.00,98.83
3730.50,98.78
3730.00,98.75
3729.50,98.74
3729.00,98.74
3728.50,98.77
3728.00,98.80
3727.50,98.83
3727.00,98.84
3726.50,98.82
3726.00,98.80
3725.50,98.78
3725.00,98.77
3724.50,98.77
3724.00,98.79
3723.50,98.81
3723.00,98.82
3722.50,98.82
3722.00,98.80
3721.50,98.78
3721.00,98.76
3720.50,98.75
3720.00,98.74
3719.50,98.73
3719.00,98.71
3718.50,98.70
3718.00,98.68
3717.50,98.69
3717.00,98.70
3716.50,98.72
3716.00,98.72
3715.50,98.72
3715.00,98.73
3714.50,98.78
3714.00,98.86
3713.50,98.94
3713.00,98.99
3712.50,98.97
3712.00,98.90
3711.50,98.83
3711.00,98.81
3710.50,98.81
3710.00,98.81
3709.50,98.77
3709.00,98.70
3708.50,98.63
3708.00,98.59
3707.50,98.58
3707.00,98.59
3706.50,98.59
3706.00,98.57
3705.50,98.55
3705.00,98.54
3704.50,98.55
3704.00,98.58
3703.50,98.61
3703.00,98.64
3702.50,98.64
3702.00,98.63
3701.50,98.59
3701.00,98.55
3700.50,98.50
3700.00,98.47
3699.50,98.45
3699.00,98.45
3698.50,98.46
3698.00,98.46
3697.50,98.46
3697.00,98.45
3696.50,98.43
3696.00,98.41
3695.50,98.41
3695.00,98.41
3694.50,98.41
3694.00,98.42
3693.50,98.46
3693.00,98.51
3692.50,98.57
3692.00,98.59
3691.50,98.58
3691.00,98.58
3690.50,98.63
3690.00,98.72
3689.50,98.80
3689.00,98.79
3688.50,98.68
3688.00,98.51
3687.50,98.34
3687.00,98.23
3686.50,98.16
3686.00,98.14
3685.50,98.13
3685.00,98.11
3684.50,98.10
3684.00,98.09
3683.50,98.08
3683.00,98.05
3682.50,98.02
3682.00,97.99
3681.50,97.99
3681.00,98.02
3680.50,98.05
3680.00,98.06
3679.50,98.05
3679.00,98.05
3678.50,98.07
3678.00,98.14
3677.50,98.24
3677.00,98.34
3676.50,98.39
3676.00,98.37
3675.50,98.27
3675.00,98.13
3674.50,98.00
3674.00,97.88
3673.50,97.82
3673.00,97.82
3672.50,97.88
3672.00,97.97
3671.50,98.01
3671.00,97.99
3670.50,97.92
3670.00,97.82
3669.50,97.73
3669.00,97.65
3668.50,97.56
3668.00,97.49
3667.50,97.43
3667.00,97.38
3666.50,97.34
3666.00,97.30
3665.50,97.27
3665.00,97.27
3664.50,97.27
3664.00,97.27
3663.50,97.26
3663.00,97.24
3662.50,97.20
3662.00,97.16
3661.50,97.12
3661.00,97.10
3660.50,97.07
3660.00,97.03
3659.50,97.00
3659.00,96.98
3658.50,97.00
3658.00,97.04
3657.50,97.09
3657.00,97.11
3656.50,97.07
3656.00,97.00
3655.50,96.91
3655.00,96.83
3654.50,96.77
3654.00,96.75
3653.50,96.76
3653.00,96.80
3652.50,96.85
3652.00,96.89
3651.50,96.92
3651.00,96.95
3650.50,96.97
3650.00,96.97
3649.50,96.92
3649.00,96.85
3648.50,96.78
3648.00,96.71
3647.50,96.65
3647.00,96.58
3646.50,96.50
3646.00,96.41
3645.50,96.33
3645.00,96.29
3644.50,96.27
3644.00,96.27
3643.50,96.25
3643.00,96.23
3642.50,96.19
3642.00,96.15
3641.50,96.12
3641.00,96.10
3640.50,96.08
3640.00,96.07
3639.50,96.06
3639.00,96.04
3638.50,96.01
3638.00,95.99
3637.50,95.97
3637.00,95.94
3636.50,95.92
3636.00,95.91
3635.50,95.91
3635.00,95.92
3634.50,95.91
3634.00,95.88
3633.50,95.84
3633.00,95.80
3632.50,95.79
3632.00,95.82
3631.50,95.89
3631.00,95.99
3630.50,96.08
3630.00,96.13
3629.50,96.10
3629.00,96.01
3628.50,95.87
3628.00,95.73
3627.50,95.62
3627.00,95.55
