name,organization/article,wavenumber_1,wavenumber_2,wavenumber_3,intensity_1,intensity_2,intensity_3
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.910085078,0.621559716
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.910810415,0.624497168
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.92339,0.883785672
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.845482815,0.476291034
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.916191152,0.556522057
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.903758089,0.499470231
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.90831687,0.518729174
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.917433226,0.500339241
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.906800669,0.607706241
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.838258305,0.452788177
HDPE,Chabuka et al. 2020,2915.9,717.4,2846.5,1.0,0.824392953,0.746687075
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.897940955,0.878196315
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.906874336,0.545855495
HDPE,Chabuka et al. 2020,2914.0,717.4,2846.5,1.0,0.931180251,0.923020538
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.894821432,0.778094293
HDPE,Chabuka et al. 2020,2915.9,2846.5,1461.8,1.0,0.775809126,0.550597909
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.901941262,0.467571173
HDPE,Chabuka et al. 2020,2914.0,2846.5,719.3,1.0,0.898591511,0.615963079
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.878682064,0.654270728
HDPE,Chabuka et al. 2020,717.4,729.0,2914.0,1.0,0.634755714,0.590742811
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.776985467,0.742128981
HDPE,Chabuka et al. 2020,2914.0,2846.5,1461.8,1.0,0.889162856,0.431573632
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.882648641,0.791003324
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.86844981,0.592264282
HDPE,Chabuka et al. 2020,2914.0,2846.5,717.4,1.0,0.907953674,0.599461456
HDPE,Chabuka et al. 2020,2914.0,2846.5,1461.8,1.0,0.855746367,0.526515228
