2_theta_1,intensity_1,2_theta_2,intensity_2,2_theta_3,intensity_3,material_name,material_formula
164.92,100,29.76,100,155.65,100,Bowieite,"(Rh,Ir,Pt)1.77S3"
162.84,100,41.38,100,138.39,90,Sudburyite,"(Pd,Ni)Sb"
156.34,100,126.66,80,121.00,70,Rhodium,"(Rh,Pt)"
155.65,100,164.92,100,29.76,100,Bowieite,"(Rh,Ir,Pt)1.77S3"
125.36,100,42.57,100,147.66,70,Skaergaardite,CuPd
98.21,100,90.89,75,48.18,63,Nowackiite,Cu6Zn3As4S12
98.21,100,52.00,100,47.57,80,Kalininite,ZnCr2S4
93.56,100,62.58,100,25.23,100,Ustarasite,"Pb(Bi,Sb)6S10"
93.56,100,25.23,100,62.58,100,Ustarasite,"Pb(Bi,Sb)6S10"
92.54,100,44.14,100,9.18,100,Freboldite,CoSe
92.54,100,9.18,100,44.14,100,Freboldite,CoSe
90.04,100,49.32,100,37.92,90,Ferdisilicite,FeSi2
86.90,100,32.90,100,16.28,100,Arsenolamprite,As
86.90,100,16.28,100,32.90,100,Arsenolamprite,As
84.83,100,89.51,80,41.38,80,Chengdeite,Ir3Fe
84.83,100,41.38,80,89.51,80,Chengdeite,Ir3Fe
83.57,100,45.30,90,100.34,70,Gupeiite,Fe3Si
83.22,100,44.83,100,65.18,80,Chromferide,"Fe3Cr1-x (x=0,6)"
82.95,100,40.45,90,46.99,70,Isoferroplatinum,"(Pt,Pd)3(Fe,Cu)"
80.27,100,40.23,100,150.24,90,Tetra-auricupride,AuCu
80.19,100,45.52,100,50.17,90,Fersilicite,FeSi
79.71,100,39.22,100,66.33,90,Rustenburgite,"(Pt,Pd)3Sn"
79.71,100,39.22,100,66.33,90,Atokite,"(Pd,Pt)3Sn"
78.30,100,42.40,100,69.58,60,Osmium,"(Os,Ir)"
72.74,100,41.72,100,60.50,80,Khamrabaevite,"(Ti,V,Fe)C"
72.29,100,19.20,100,5.52,100,Perlialite,K8Tl4Al12Si24O72•20(H2O)
72.29,100,5.52,100,19.20,100,Perlialite,K8Tl4Al12Si24O72•20(H2O)
70.72,100,29.06,100,48.27,80,Maikainite,"Cu20(Fe,Cu)6Mo2Ge6S32"
70.48,100,40.17,90,25.31,90,Baotite,"Ba4(Ti,Nb)8Si4O28Cl"
70.48,100,25.31,90,40.17,90,Baotite,"Ba4(Ti,Nb)8Si4O28Cl"
68.14,100,27.59,100,25.06,100,Julienite,Na2Co++(SCN)4•8(H2O)
68.14,100,25.06,100,27.59,100,Julienite,Na2Co++(SCN)4•8(H2O)
67.92,50,56.29,50,53.31,50,Oxyvanite,V3O5
67.92,50,53.31,50,36.80,50,Oxyvanite,V3O5
67.92,50,53.31,50,56.29,50,Oxyvanite,V3O5
67.53,100,32.53,100,31.03,70,Olkhonskite,"(Cr+++,V+++)2Ti3O9"
67.42,100,20.79,100,41.19,90,Jeremejevite,"Al6B5O15(F,OH)3"
67.31,100,37.28,100,8.18,100,Glucine,CaBe4(PO4)2(OH)4•0.5(H2O)
67.31,100,8.18,100,37.28,100,Glucine,CaBe4(PO4)2(OH)4•0.5(H2O)
67.25,100,37.60,87,33.43,71,Zincostaurolite,"[ ]4Zn4Al16(Al,[ ])2Si8O40[O6,(OH)2]"
66.76,100,62.26,100,36.04,50,Leadamalgam,HgPb2
65.18,100,56.78,100,29.86,100,Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
65.18,100,29.86,100,56.78,100,Augite,"(Ca,Na)(Mg,Fe,Al,Ti)(Si,Al)2O6"
65.03,100,58.27,100,31.36,100,Batisivite,"(Ti,V,Cr)14Ba[Si2O7]O22"
65.03,100,31.36,100,58.27,100,Batisivite,"(Ti,V,Cr)14Ba[Si2O7]O22"
64.68,100,42.19,100,40.04,90,Mathiasite,"(K,Ca,Sr)(Ti,Cr,Fe,Mg)21O38"
64.68,90,31.47,90,54.23,85,Romanite,"(Fe++,U,Pb)2(Ti,Fe+++)O4"
64.18,100,36.19,100,44.30,90,Bityite,CaLiAl2(AlBeSi2)O10(OH)2
62.58,100,93.56,100,25.23,100,Ustarasite,"Pb(Bi,Sb)6S10"
62.49,100,9.04,100,28.13,100,Brammallite,"(Na,H3O)(Al,Mg,Fe)2(Si,Al)4O10[(OH)2,(H2O)]"
62.49,100,28.13,100,9.04,100,Brammallite,"(Na,H3O)(Al,Mg,Fe)2(Si,Al)4O10[(OH)2,(H2O)]"
62.44,100,44.14,100,41.99,100,Niggliite,PtSn
62.44,100,41.99,100,44.14,100,Niggliite,PtSn
62.40,100,57.83,100,30.81,90,Shuiskite,"Ca2(Mg,Al)(Cr,Al)2(SiO4)(Si2O7)(OH)2•(H2O)"
62.26,100,66.76,100,36.04,50,Leadamalgam,HgPb2
62.07,100,30.59,80,10.65,60,Chrysocolla,"(Cu,Al)2H2Si2O5(OH)4•n(H2O)"
62.03,100,79.55,90,31.59,70,Luanheite,Ag3Hg
61.66,100,34.85,100,36.54,70,Preiswerkite,NaMg2Al3Si2O10(OH)2
61.52,100,36.12,100,62.58,90,Manganoneptunite,"KNa2Li(Mn,Fe++)2Ti2Si8O24"
61.43,100,29.55,100,50.88,70,Calciotantite,"Ca(Ta,Nb)4O11"
61.30,100,34.47,90,17.04,85,Takeuchiite,Mg2Mn+++O2(BO3)
61.07,100,41.72,100,27.95,100,Babefphite,"BaBe(PO4)(F,O)"
61.07,100,27.95,100,41.72,100,Babefphite,"BaBe(PO4)(F,O)"
60.94,100,34.47,100,19.62,80,Chromphyllite,"(K,Ba)(Cr,Al)2[AlSi3O10](OH,F)2"
60.90,100,19.45,100,5.73,100,Nontronite,"Na0.3Fe+++2(Si,Al)4O10(OH)2•n(H2O)"
60.90,100,5.73,100,19.45,100,Nontronite,"Na0.3Fe+++2(Si,Al)4O10(OH)2•n(H2O)"
60.81,100,37.28,100,26.51,90,Shirokshinite,K(NaMg2)Si4O10F2
60.46,-,34.33,-,22.72,-,Kurumsakite,"(Zn,Ni,Cu)8Al8V2Si5O35•27(H2O) (?)"
60.46,100,19.36,100,5.59,80,Hectorite,"Na0,3(Mg,Li)3Si4O10(OH)2"
60.07,100,50.55,100,30.38,100,Tazheranite,CaTiZr2O8
60.07,100,30.38,100,50.55,100,Tazheranite,CaTiZr2O8
60.02,100,38.27,60,33.67,60,Mcgovernite,Mn9Mg4Zn2As2Si2O17(OH)14
60.02,100,34.74,100,31.03,60,Majorite,"Mg3(Fe,Al,Si)2(SiO4)3"
60.02,100,34.74,100,31.03,60,Pyrope,Mg3Al2(SiO4)3
60.02,100,33.54,100,5.73,100,Sauconite,"Na0,3Zn3(Si,Al)4O10(OH)2•4(H2O)"
60.02,100,24.78,100,20.35,100,Neotocite,"(Mn,Fe++)SiO3•(H2O) (?)"
60.02,100,20.35,100,24.78,100,Neotocite,"(Mn,Fe++)SiO3•(H2O) (?)"
60.02,100,5.73,100,33.54,100,Sauconite,"Na0,3Zn3(Si,Al)4O10(OH)2•4(H2O)"
60.02,100,33.67,60,38.27,60,Mcgovernite,Mn9Mg4Zn2As2Si2O17(OH)14
59.85,100,35.08,100,29.84,60,Glagolevite,"NaMg6[Si3AlO10](OH,O)8•H2O"
59.85,100,29.84,100,34.51,60,Glagolevite,"NaMg6[Si3AlO10](OH,O)8•H2O"
59.68,100,50.28,100,30.38,100,Lewisite,"(Ca,Fe++,Na)2(Sb,Ti)2O7"
59.68,100,30.38,100,50.28,100,Lewisite,"(Ca,Fe++,Na)2(Sb,Ti)2O7"
59.60,100,35.57,100,50.52,92,Sabelliite,"Cu2Zn(As,Sb)O4(OH)3"
59.51,100,50.14,100,30.27,100,Uranmicrolite,"(U,Ca)2(Ta,Nb)2O6(OH)"
59.51,100,30.27,100,50.14,100,Uranmicrolite,"(U,Ca)2(Ta,Nb)2O6(OH)"
58.60,100,34.20,100,30.59,90,Calderite,"(Mn++,Ca)3(Fe+++,Al)2(SiO4)3"
58.27,100,65.03,100,31.36,100,Batisivite,"(Ti,V,Cr)14Ba[Si2O7]O22"
58.07,100,49.50,100,29.36,100,Cesstibtantite,"(Cs,Na)SbTa4O12"
58.07,100,29.36,100,49.50,100,Cesstibtantite,"(Cs,Na)SbTa4O12"
57.95,100,50.67,100,42.40,100,Lindsleyite,"(Ba,Sr)(Ti,Cr,Fe,Mg)21O38"
57.95,100,42.40,100,50.67,100,Lindsleyite,"(Ba,Sr)(Ti,Cr,Fe,Mg)21O38"
