Sample Name,Source,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,1727.9,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,1461.8,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,719.3,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,1436.7,1461.8,1471.4,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,1471.4,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,802.3,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1153.2,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1153.2,1209.2,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1151.3,1207.2,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1151.3,1461.8,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1471.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1076.1,1457.9,1469.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1066.5,1074.2,1438.7,1457.9,1471.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1076.1,1461.8,1469.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,781.0,798.4,1080.0,1461.8,2848.4,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,798.4,1076.1,1442.5,1450.2,1461.8,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,779.1,798.4,1081.9,1461.8,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,1469.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1068.4,1074.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,798.4,1083.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1234.2,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,781.0,798.4,1081.9,1471.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,798.4,1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,798.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,779.1,796.5,1027.9,1060.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1461.8,1471.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,715.5,1085.7,1151.3,1205.3,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1469.5,2846.5,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,676.9,1083.8,1149.4,1205.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1149.4,1205.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1149.4,1203.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,1147.5,1201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,1145.5,1201.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1459.9,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1459.9,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,1710.6,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,1706.7,1712.5,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1450.2,1461.8,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1197.6,1429.0,1450.2,1461.8,2848.4,2917.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,1093.5,1427.1,1459.9,2846.5,2915.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HDPE,Chabuka et al. 2020,717.4,729.0,1461.8,2846.5,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1097.3,1242.0,1714.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,723.2,1091.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,798.4,1016.3,1089.6,1257.4,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,723.2,1095.4,1243.9,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1243.9,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1087.7,1236.2,1710.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1240.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1091.5,1238.1,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1093.5,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1091.5,1238.1,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1089.6,1236.2,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1091.5,1238.1,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,1095.4,1242.0,1712.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PET,Chabuka et al. 2020,721.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
